epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98233,0.76008,2.96985,1.09696,0.00507,1,0.32276,0.26386,0.58789,2.73399,0.92736,6e-05,6e-05,6e-05
2,12.655,0.71512,2.48004,1.06839,0.00504,1,0.995,0.8452,0.56628,2.43899,0.81445,0.000138614,0.000138614,0.000138614
3,17.7579,0.74184,1.70643,0.96538,1,0.76323,0.995,0.77136,0.70372,1.90094,0.83151,0.000215644,0.000215644,0.000215644
4,23.1385,0.68646,1.02078,0.94428,0.98913,1,0.995,0.778,0.75511,1.32277,0.85277,0.00029109,0.00029109,0.00029109
5,28.0967,0.77031,0.86989,0.97698,0.97751,1,0.995,0.80045,0.75309,1.33194,0.83085,0.000364952,0.000364952,0.000364952
6,33.1488,0.777,0.82566,1.02929,0.9867,1,0.995,0.80326,0.74709,1.42703,0.83932,0.00043723,0.00043723,0.00043723
7,38.3383,0.75828,0.91611,0.99466,1,0.98142,0.995,0.72444,0.84454,1.36286,0.89241,0.000507924,0.000507924,0.000507924
8,43.3374,0.71101,0.80362,0.96703,0.98318,0.94118,0.99222,0.79662,0.7358,1.11309,0.8695,0.000577034,0.000577034,0.000577034
9,49.2878,0.7117,0.74586,0.96591,0.99228,1,0.995,0.8414,0.65139,1.00045,0.8411,0.00064456,0.00064456,0.00064456
10,58.6176,0.73708,0.76271,0.99214,0.99135,1,0.995,0.8135,0.7505,1.04559,0.86835,0.000710502,0.000710502,0.000710502
11,68.6719,0.71672,0.73057,0.97487,0.99164,1,0.995,0.78015,0.90347,1.08337,0.95922,0.00077486,0.00077486,0.00077486
12,78.4504,0.72201,0.72959,1.00136,0.99515,1,0.995,0.80106,0.77135,1.03485,0.91935,0.000837634,0.000837634,0.000837634
13,86.8289,0.71815,0.72467,0.97544,0.99647,1,0.995,0.78874,0.83061,1.06719,0.92594,0.000898824,0.000898824,0.000898824
14,92.9748,0.76038,0.7124,1.0179,0.99577,1,0.995,0.79683,0.76009,1.09519,0.89372,0.00095843,0.00095843,0.00095843
15,99.0427,0.71621,0.73231,0.99678,0.9951,1,0.995,0.83396,0.66864,1.08086,0.86503,0.00101645,0.00101645,0.00101645
16,107.092,0.70782,0.7129,0.96083,0.99622,1,0.995,0.83729,0.68126,1.03872,0.88792,0.00107289,0.00107289,0.00107289
17,117.001,0.72117,0.69748,0.98284,0.99606,1,0.995,0.84142,0.69478,1.06878,0.90502,0.00112774,0.00112774,0.00112774
18,123.504,0.69986,0.76261,0.96966,0.94309,0.97562,0.98889,0.73013,0.78994,1.3614,0.99224,0.00118101,0.00118101,0.00118101
19,130.738,0.68098,0.68623,0.95601,0.96367,0.82353,0.96719,0.74612,0.84091,1.46016,1.05568,0.0012327,0.0012327,0.0012327
20,140.627,0.69461,0.66125,0.93703,0.92058,0.82353,0.94039,0.68215,0.8354,1.59018,1.085,0.0012828,0.0012828,0.0012828
21,146.798,0.67551,0.65913,0.9654,0.85736,0.76471,0.88412,0.62037,0.87752,1.73349,1.15165,0.00133132,0.00133132,0.00133132
22,153.03,0.72822,0.65515,0.96938,0.87946,0.85919,0.89617,0.68311,0.84892,1.49506,1.08136,0.00137825,0.00137825,0.00137825
23,158.901,0.67012,0.69919,0.94371,0.79861,0.93343,0.95119,0.73643,0.75199,1.33823,1.03187,0.0014236,0.0014236,0.0014236
24,164.989,0.67382,0.65455,0.96437,0.90502,0.88235,0.97708,0.82166,0.65094,1.29598,0.96457,0.00146737,0.00146737,0.00146737
25,170.638,0.63501,0.66125,0.94061,1,0.98776,0.995,0.85536,0.65907,1.20972,0.94025,0.00150955,0.00150955,0.00150955
26,175.786,0.67424,0.61805,0.9554,0.99401,1,0.995,0.83365,0.68297,1.15652,0.95341,0.001505,0.001505,0.001505
27,180.764,0.6904,0.70642,1.02812,1,0.98405,0.995,0.83426,0.69286,1.22468,0.95606,0.0014852,0.0014852,0.0014852
28,185.651,0.72805,0.71759,1.00502,1,0.9673,0.995,0.823,0.65396,1.18636,0.94884,0.0014654,0.0014654,0.0014654
29,190.878,0.68317,0.72601,0.97821,1,0.97317,0.995,0.84602,0.67811,1.12753,0.95691,0.0014456,0.0014456,0.0014456
30,196.144,0.66496,0.64849,0.94411,1,0.99242,0.995,0.83654,0.65785,1.11298,0.95813,0.0014258,0.0014258,0.0014258
31,201.402,0.65087,0.65795,0.97833,0.98184,1,0.995,0.83282,0.68005,1.01933,0.96974,0.001406,0.001406,0.001406
32,207.283,0.65539,0.59486,0.96741,0.99703,1,0.995,0.84306,0.67128,0.86414,0.96334,0.0013862,0.0013862,0.0013862
33,215.734,0.59222,0.59318,0.93093,0.99637,1,0.995,0.85972,0.59813,0.73682,0.94051,0.0013664,0.0013664,0.0013664
34,223.834,0.68389,0.63338,0.9855,0.99685,1,0.995,0.83976,0.61161,0.69183,0.93739,0.0013466,0.0013466,0.0013466
35,231.955,0.69465,0.62692,0.97975,0.99695,1,0.995,0.85508,0.59291,0.71214,0.93292,0.0013268,0.0013268,0.0013268
36,240.033,0.5894,0.57265,0.9539,0.99681,1,0.995,0.85674,0.601,0.69899,0.94969,0.001307,0.001307,0.001307
37,248.28,0.60348,0.57253,0.96009,0.99677,1,0.995,0.86689,0.62141,0.69627,0.97887,0.0012872,0.0012872,0.0012872
38,256.885,0.62811,0.57663,0.95784,0.99688,1,0.995,0.87348,0.57791,0.67681,0.95942,0.0012674,0.0012674,0.0012674
39,265.447,0.63431,0.5807,0.96431,0.99661,1,0.995,0.86476,0.54879,0.65898,0.94466,0.0012476,0.0012476,0.0012476
40,274.117,0.62329,0.58882,0.98234,0.99652,1,0.995,0.87415,0.60442,0.62637,0.96601,0.0012278,0.0012278,0.0012278
41,282.641,0.62764,0.61033,0.95194,0.99581,1,0.995,0.8776,0.65603,0.63279,0.98556,0.001208,0.001208,0.001208
42,290.61,0.62448,0.61416,0.99193,0.99637,1,0.995,0.86661,0.63119,0.64066,1.0027,0.0011882,0.0011882,0.0011882
