epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.537,0.84628,1.72768,1.04704,0.99031,0.48553,0.70798,0.57228,0.74675,1.97828,0.93247,0.00046641,0.00046641,0.00046641
2,136.195,0.85081,0.86359,1.05153,0.87504,0.85381,0.92587,0.74638,0.80128,1.3994,0.95394,0.00093341,0.00093341,0.00093341
3,195.487,0.84865,0.82273,1.06571,0.82809,0.92852,0.95565,0.76016,0.83225,1.16369,1.02478,0.00139098,0.00139098,0.00139098
4,254.347,0.83556,0.75627,1.05341,0.85261,0.99271,0.95083,0.77698,0.71902,0.89417,0.95124,0.00138656,0.00138656,0.00138656
5,318.134,0.83855,0.71122,1.06566,0.88191,0.99444,0.94414,0.78375,0.73597,0.82242,1.00952,0.00137241,0.00137241,0.00137241
6,389.838,0.79718,0.67526,1.04791,0.93406,0.99038,0.93663,0.77484,0.71326,0.66005,0.97041,0.00135826,0.00135826,0.00135826
7,460.055,0.79906,0.64727,1.05304,0.91149,0.99444,0.95686,0.78769,0.69696,0.64056,0.98531,0.00134412,0.00134412,0.00134412
8,530.955,0.8203,0.62571,1.06151,0.91498,0.99444,0.94726,0.75741,0.75382,0.57776,1.06716,0.00132997,0.00132997,0.00132997
9,602.269,0.78734,0.57832,1.04641,0.92757,0.99444,0.97133,0.78969,0.69991,0.60687,0.98531,0.00131582,0.00131582,0.00131582
10,673.707,0.77699,0.56769,1.04595,0.78669,0.99444,0.88626,0.72927,0.70981,0.78557,1.03629,0.00130168,0.00130168,0.00130168
11,744.733,0.7711,0.55778,1.04789,0.92978,0.99444,0.95937,0.80954,0.68614,0.52009,0.99223,0.00128753,0.00128753,0.00128753
12,816.716,0.75989,0.53026,1.03622,0.93525,0.99444,0.96022,0.76806,0.75677,0.54227,1.02312,0.00127338,0.00127338,0.00127338
13,887.939,0.74177,0.51532,1.02559,0.93625,0.9774,0.95898,0.78293,0.71095,0.52164,0.99876,0.00125923,0.00125923,0.00125923
14,960.271,0.73722,0.50904,1.02782,0.93189,0.99326,0.97068,0.81685,0.65875,0.47659,0.97197,0.00124509,0.00124509,0.00124509
15,1030.72,0.7517,0.50616,1.04024,0.92997,0.9796,0.96151,0.78535,0.71335,0.47592,1.01513,0.00123094,0.00123094,0.00123094
16,1102.26,0.75651,0.48862,1.03701,0.92976,0.99444,0.9609,0.81696,0.65212,0.46938,1.05681,0.00121679,0.00121679,0.00121679
17,1173.48,0.73711,0.47733,1.03807,0.92707,0.99444,0.98274,0.82408,0.68479,0.45816,1.07079,0.00120265,0.00120265,0.00120265
18,1244.96,0.73934,0.48445,1.03043,0.93166,0.97778,0.93657,0.77575,0.66341,0.56198,0.97435,0.0011885,0.0011885,0.0011885
19,1316.28,0.73593,0.48342,1.03481,0.94002,0.98196,0.96063,0.8236,0.62478,0.40291,1.00754,0.00117435,0.00117435,0.00117435
