epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1387.91,0.72583,0.47223,1.03261,0.93941,0.97837,0.97054,0.80558,0.68793,0.45858,1.02439,0.00116021,0.00116021,0.00116021
21,1459.64,0.73656,0.47937,1.03515,0.93961,0.98435,0.94944,0.79669,0.67801,0.42033,1.02759,0.00114606,0.00114606,0.00114606
22,1531.19,0.72822,0.46394,1.03108,0.93797,0.97959,0.98076,0.8347,0.66971,0.44848,1.00928,0.00113191,0.00113191,0.00113191
23,1603.48,0.71415,0.45542,1.02938,0.94003,0.97851,0.93889,0.78594,0.65716,0.4036,1.02433,0.00111776,0.00111776,0.00111776
24,1675.8,0.70537,0.43969,1.01799,0.93741,0.9796,0.93693,0.80105,0.65607,0.436,1.01772,0.00110362,0.00110362,0.00110362
25,1747.94,0.70235,0.43526,1.02492,0.93842,0.97999,0.95969,0.8045,0.6627,0.41505,1.01457,0.00108947,0.00108947,0.00108947
26,1820.3,0.71997,0.43622,1.02932,0.93817,0.98798,0.94985,0.81358,0.63469,0.38208,1.01343,0.00107532,0.00107532,0.00107532
27,1893.3,0.71118,0.43524,1.02547,0.93277,0.98655,0.94898,0.80356,0.65282,0.40277,1.02064,0.00106118,0.00106118,0.00106118
28,2006.37,0.7021,0.43511,1.02357,0.94114,0.98053,0.99296,0.86508,0.64597,0.4059,0.99243,0.00104703,0.00104703,0.00104703
29,2155.69,0.69781,0.4208,1.02603,0.94091,0.97763,0.95883,0.80346,0.69691,0.39067,1.05772,0.00103288,0.00103288,0.00103288
30,2305.18,0.7048,0.4315,1.0414,0.93913,0.98601,0.93677,0.79045,0.67026,0.40042,1.06186,0.00101873,0.00101873,0.00101873
31,2455.43,0.69225,0.41227,1.027,0.93726,0.98733,0.94785,0.79512,0.6247,0.37735,1.04324,0.00100459,0.00100459,0.00100459
32,2589.68,0.70902,0.41645,1.03592,0.9387,0.97783,0.94721,0.77467,0.6782,0.39513,1.07748,0.00099044,0.00099044,0.00099044
33,2675.36,0.68611,0.40671,1.01758,0.93666,0.9892,0.94839,0.80765,0.65131,0.37245,1.05299,0.000976293,0.000976293,0.000976293
34,2762.86,0.6968,0.41554,1.02317,0.93741,0.99444,0.98178,0.83724,0.64197,0.37672,1.03319,0.000962146,0.000962146,0.000962146
35,2824,0.69371,0.41105,1.00948,0.93029,0.99229,0.93746,0.778,0.6761,0.40158,1.06722,0.000947999,0.000947999,0.000947999
36,2883.94,0.69397,0.41364,1.02036,0.93387,0.98784,0.93917,0.794,0.64616,0.34911,1.05244,0.000933851,0.000933851,0.000933851
37,2943.51,0.69321,0.42283,1.02709,0.93365,0.99444,0.94837,0.83401,0.61236,0.33368,1.04412,0.000919704,0.000919704,0.000919704
38,3002.95,0.69084,0.40702,1.02082,0.93761,0.98007,0.96981,0.81367,0.64225,0.35639,1.04901,0.000905557,0.000905557,0.000905557
39,3068.6,0.67943,0.39766,1.01486,0.92478,0.97333,0.97033,0.82054,0.6347,0.42994,1.02874,0.00089141,0.00089141,0.00089141
40,3133.88,0.68732,0.40315,1.00855,0.92481,0.99444,0.97004,0.83238,0.63962,0.35416,1.02618,0.000877263,0.000877263,0.000877263
41,3199.02,0.68871,0.4056,1.00879,0.93926,0.96959,0.97004,0.82745,0.64687,0.38848,1.03278,0.000863116,0.000863116,0.000863116
42,3264.18,0.68619,0.3955,1.00628,0.93781,0.97767,0.99238,0.8418,0.644,0.3484,1.02651,0.000848969,0.000848969,0.000848969
43,3329.29,0.6747,0.39098,1.01958,0.93349,0.97908,0.93747,0.81681,0.62367,0.36243,0.99808,0.000834822,0.000834822,0.000834822
44,3394.77,0.67241,0.38992,1.01283,0.9354,0.99174,0.96136,0.82039,0.63267,0.33489,1.02441,0.000820675,0.000820675,0.000820675
45,3460.31,0.67541,0.39442,1.01671,0.92841,0.99444,0.95974,0.82415,0.64107,0.35692,1.03874,0.000806528,0.000806528,0.000806528
46,3525.73,0.67246,0.39841,1.00344,0.93721,0.97829,0.9484,0.81003,0.64015,0.38763,1.01205,0.00079238,0.00079238,0.00079238
47,3590.57,0.68209,0.39129,1.00463,0.93761,0.97625,0.94996,0.8197,0.64259,0.3793,0.98439,0.000778233,0.000778233,0.000778233
48,3669.52,0.66722,0.38887,1.00497,0.94089,0.98034,0.94992,0.79742,0.63158,0.33763,0.99818,0.000764086,0.000764086,0.000764086
49,3755.41,0.67267,0.39598,1.00697,0.94023,0.97976,0.9494,0.81035,0.64902,0.35041,1.02207,0.000749939,0.000749939,0.000749939
50,3841.16,0.67174,0.38542,1.00235,0.93453,0.99444,0.94823,0.80726,0.64305,0.34522,1.03883,0.000735792,0.000735792,0.000735792
51,3927.69,0.66854,0.38262,1.00446,0.93695,0.99444,0.94909,0.81528,0.61419,0.34509,1.01885,0.000721645,0.000721645,0.000721645
52,4016.67,0.66081,0.36882,1.00802,0.92595,0.99258,0.97082,0.83187,0.60203,0.33601,1.00238,0.000707498,0.000707498,0.000707498
53,4106.74,0.66207,0.36643,0.99952,0.93742,0.99444,0.93866,0.80103,0.65188,0.34156,1.02357,0.000693351,0.000693351,0.000693351
54,4193.31,0.66127,0.37829,1.00278,0.93251,0.97867,0.9369,0.8061,0.62725,0.35767,1.02735,0.000679204,0.000679204,0.000679204
55,4283.39,0.67048,0.37894,1.01142,0.93783,0.98095,0.93947,0.81373,0.65113,0.33619,1.02681,0.000665057,0.000665057,0.000665057
56,4367.4,0.6546,0.37477,0.9997,0.93548,0.97808,0.94836,0.82858,0.61528,0.34669,1.02143,0.000650909,0.000650909,0.000650909
57,4452.48,0.65311,0.38317,1.00051,0.93833,0.97592,0.93785,0.80623,0.6214,0.3374,1.0423,0.000636762,0.000636762,0.000636762
58,4539.24,0.6555,0.36703,1.00174,0.93821,0.97966,0.93967,0.80627,0.60161,0.30408,1.0356,0.000622615,0.000622615,0.000622615
59,4627.39,0.65033,0.36237,0.99669,0.93455,0.978,0.94933,0.79745,0.6164,0.31355,1.03936,0.000608468,0.000608468,0.000608468
60,4714.08,0.65777,0.36363,1.00805,0.92878,0.99444,0.96069,0.80597,0.63606,0.32657,1.04268,0.000594321,0.000594321,0.000594321
61,4800.33,0.66036,0.37277,1.00923,0.93544,0.97795,0.9488,0.81413,0.62221,0.33934,1.03531,0.000580174,0.000580174,0.000580174
62,4885.17,0.63818,0.35563,0.98828,0.93387,0.98377,0.94778,0.82071,0.60452,0.33536,1.02768,0.000566027,0.000566027,0.000566027
63,4970.45,0.64173,0.35741,0.99267,0.92926,0.99039,0.9475,0.81745,0.6038,0.31659,1.0329,0.00055188,0.00055188,0.00055188
64,5057.82,0.6387,0.35029,0.99742,0.9391,0.97894,0.94839,0.82319,0.59615,0.30866,1.02274,0.000537733,0.000537733,0.000537733
65,5145.38,0.63409,0.36118,0.99873,0.94003,0.97855,0.93745,0.80969,0.61704,0.31113,1.03629,0.000523586,0.000523586,0.000523586
66,5231.83,0.65614,0.35821,1.00107,0.92768,0.99328,0.94805,0.8162,0.60815,0.31615,1.03716,0.000509438,0.000509438,0.000509438
67,5319.05,0.64835,0.35418,1.00452,0.94098,0.97869,0.94992,0.80481,0.61393,0.30337,1.03991,0.000495291,0.000495291,0.000495291
68,5403.47,0.64191,0.3507,1.00605,0.93457,0.99204,0.93783,0.82112,0.63145,0.31828,1.03972,0.000481144,0.000481144,0.000481144
69,5493.12,0.63748,0.34711,0.99841,0.92868,0.99169,0.94845,0.82037,0.5984,0.30543,1.02641,0.000466997,0.000466997,0.000466997
70,5582.04,0.62854,0.33647,0.99762,0.92491,0.99444,0.94804,0.82508,0.59945,0.29976,1.02446,0.00045285,0.00045285,0.00045285
71,5667.69,0.62178,0.3391,0.99736,0.93829,0.99444,0.93801,0.80956,0.59084,0.2909,1.01142,0.000438703,0.000438703,0.000438703
72,5755.35,0.62665,0.34191,0.99149,0.93431,0.99444,0.93737,0.81046,0.59469,0.29059,1.00842,0.000424556,0.000424556,0.000424556
73,5845.72,0.62475,0.34293,0.99552,0.93718,0.97459,0.93889,0.81827,0.57887,0.30694,0.99701,0.000410409,0.000410409,0.000410409
74,5935.42,0.62881,0.34422,0.99558,0.9411,0.97702,0.93917,0.80351,0.61291,0.30619,1.01752,0.000396262,0.000396262,0.000396262
75,6024.26,0.63358,0.33645,0.98876,0.93891,0.97832,0.9485,0.81844,0.6144,0.32486,1.02615,0.000382115,0.000382115,0.000382115
76,6113.45,0.62381,0.3381,0.99418,0.93625,0.99444,0.93856,0.81569,0.5958,0.29664,1.00889,0.000367967,0.000367967,0.000367967
77,6199.81,0.63312,0.34512,0.99183,0.93591,0.99444,0.95004,0.82221,0.60052,0.29626,1.01922,0.00035382,0.00035382,0.00035382
78,6287.14,0.62568,0.33306,0.98734,0.93805,0.97786,0.96132,0.82806,0.59686,0.29329,1.01239,0.000339673,0.000339673,0.000339673
79,6362.85,0.62565,0.33638,0.98251,0.93665,0.98409,0.9503,0.81352,0.60433,0.29232,1.01386,0.000325526,0.000325526,0.000325526
80,6421.56,0.62865,0.33768,1.00209,0.93188,0.99444,0.93877,0.82069,0.61959,0.29136,1.01756,0.000311379,0.000311379,0.000311379
81,6479.26,0.60749,0.32566,0.9917,0.93675,0.99444,0.95021,0.83707,0.59703,0.28715,1.01271,0.000297232,0.000297232,0.000297232
82,6538.01,0.60871,0.32388,0.97996,0.93741,0.99444,0.96146,0.83606,0.5962,0.29012,1.00888,0.000283085,0.000283085,0.000283085
83,6601.49,0.62104,0.33305,0.99598,0.93707,0.99444,0.93933,0.82311,0.59714,0.27471,1.01972,0.000268938,0.000268938,0.000268938
84,6679.8,0.61103,0.32698,0.98256,0.93632,0.99444,0.93781,0.82252,0.59866,0.28277,1.01504,0.000254791,0.000254791,0.000254791
85,6746.34,0.59938,0.32195,0.98773,0.9356,0.99444,0.93767,0.82116,0.58441,0.28066,1.01004,0.000240644,0.000240644,0.000240644
86,6809.23,0.60436,0.31113,0.97202,0.93582,0.99364,0.9377,0.82526,0.58621,0.27664,1.01836,0.000226497,0.000226497,0.000226497
87,6871.23,0.61264,0.32506,0.99556,0.94176,0.99444,0.94866,0.82308,0.5939,0.28191,1.01876,0.000212349,0.000212349,0.000212349
88,6928.75,0.61364,0.31897,0.98684,0.93875,0.99444,0.93874,0.82168,0.59492,0.27506,1.00827,0.000198202,0.000198202,0.000198202
89,6987.16,0.58983,0.31422,0.9772,0.9393,0.99444,0.93951,0.83077,0.58461,0.26531,1.00464,0.000184055,0.000184055,0.000184055
90,7045.58,0.62411,0.32191,0.98586,0.94081,0.98001,0.93967,0.82299,0.58033,0.26261,1.01296,0.000169908,0.000169908,0.000169908
91,7103.1,0.57483,0.27023,0.96761,0.94137,0.97851,0.95035,0.81449,0.6075,0.27202,1.03228,0.000155761,0.000155761,0.000155761
92,7166.36,0.57182,0.26104,0.96346,0.93523,0.99444,0.95008,0.8168,0.59996,0.27125,1.03155,0.000141614,0.000141614,0.000141614
93,7229.9,0.57391,0.26629,0.97455,0.93975,0.99444,0.94958,0.82741,0.59593,0.26956,1.02001,0.000127467,0.000127467,0.000127467
94,7292.8,0.56657,0.25563,0.96706,0.93856,0.99444,0.93874,0.82266,0.58887,0.26983,1.01823,0.00011332,0.00011332,0.00011332
95,7355.28,0.56531,0.26272,0.97197,0.93833,0.99444,0.93814,0.82291,0.57915,0.26478,1.00883,9.91726e-05,9.91726e-05,9.91726e-05
96,7418.46,0.56166,0.25846,0.96318,0.93792,0.99444,0.93826,0.82266,0.57697,0.26391,1.01646,8.50255e-05,8.50255e-05,8.50255e-05
97,7481.44,0.56206,0.25697,0.96332,0.9427,0.99444,0.93743,0.82071,0.57816,0.26679,1.01368,7.08784e-05,7.08784e-05,7.08784e-05
98,7543.97,0.56369,0.25043,0.96831,0.94221,0.99444,0.93748,0.82193,0.57842,0.26138,1.01568,5.67313e-05,5.67313e-05,5.67313e-05
99,7606.67,0.55247,0.25,0.96184,0.93703,0.99444,0.94844,0.83295,0.5787,0.26315,1.0153,4.25842e-05,4.25842e-05,4.25842e-05
100,7669.65,0.54747,0.24615,0.95691,0.93868,0.99444,0.94833,0.83522,0.57508,0.25845,1.01121,2.84371e-05,2.84371e-05,2.84371e-05
